# Delay in ms

delayNoClockSyn,delayClockSyn

,45.00
,160.00
,64.00
,87.00
,49.00
,45.00
,167.00
,166.00
,109.00
,51.00
,45.00
,44.00
,45.00
,87.00
,44.00
,50.00
,108.00
,48.00
,45.00
,45.00
,44.00
,183.00
,88.00
,198.00
,132.00
,63.00
,64.00
,44.00
,47.00
,45.00
,44.00
,137.00
,108.00
,67.00
,44.00
,44.00
,46.00
,48.00
,45.00
,49.00
,45.00
,90.00
,45.00
,48.00
,44.00
,45.00
,44.00
,118.00
,76.00
,45.00
,44.00
,44.00
,45.00
,44.00
,44.00
,45.00
,44.00
,85.00
,45.00
,44.00
,45.00
,44.00
,87.00
,51.00
,44.00
,44.00
,47.00
,82.00
,45.00
,47.00
,45.00
,45.00
,80.00
,45.00
,44.00
,48.00
,47.00
,168.00
,99.00
,45.00
,44.00
,45.00
,47.00
,45.00
,45.00
,44.00
,45.00
,90.00
,56.00
,46.00
,45.00
,44.00
,47.00
,46.00
,46.00
,44.00
,79.00
,57.00
,45.00
,44.00
,45.00
,44.00
,47.00
,44.00
,47.00
,45.00
,46.00
,45.00
,86.00
,107.00
,48.00
,44.00
,45.00
,45.00
,45.00
,44.00
,45.00
,47.00
,44.00
,87.00
,49.00
,45.00
,52.00
,45.00
,45.00
,46.00
,58.00
,45.00
,119.00
,88.00
,47.00
,48.00
,56.00
,45.00
,47.00
,45.00
,56.00
,44.00
,52.00
,45.00
,46.00
,46.00
,139.00
,164.00
,106.00
,47.00
,51.00
,45.00
,46.00
,44.00
,45.00
,44.00
,145.00
,122.00
,72.00
,47.00
,116.00
,45.00
,45.00
,48.00
,47.00
,44.00
,65.00
,65.00
,44.00
,45.00
,45.00
,106.00
,47.00
,48.00
,45.00
,47.00
,47.00
,211.00
,141.00
,154.00
,104.00
,166.00
,200.00
,145.00
,87.00
,45.00
,47.00
,285.00
,206.00
,246.00
,228.00
,138.00
,95.00
,83.00
,44.00
,45.00
,44.00
,91.00
,44.00
,125.00
,91.00
,66.00
,66.00
,48.00
,44.00
,45.00
,45.00
,79.00
,44.00
,64.00
,45.00
,44.00
,70.00
,51.00
,44.00
,45.00
,97.00
,72.00
,44.00
,44.00
,45.00
,44.00
,95.00
,79.00
,45.00
,51.00
,44.00
,68.00
,48.00
,48.00
,56.00
,50.00
,56.00
,49.00
,45.00
,46.00
,45.00
,59.00
,45.00
,45.00
,49.00
,50.00
,137.00
,85.00
,46.00
,48.00
,45.00
,47.00
,111.00
,76.00
,44.00
,70.00
,90.00
,137.00
,75.00
,45.00
,46.00
,60.00
,51.00
,45.00
,49.00
,151.00
,108.00
,50.00
,44.00
,45.00
,45.00
,45.00
,44.00
,45.00
,45.00
,44.00
,45.00
,45.00
,44.00
,47.00
,45.00
,44.00
,45.00
,48.00
,60.00
,45.00
,44.00
,45.00
,44.00
,45.00
,46.00
,45.00
,45.00
,44.00
,49.00
,44.00
